"Cropland exposure to drought"
"Cropland soil moisture change (%) compared to the baseline climatology (1981-2010)"
"Category","Netherlands (x)","Netherlands (y)"
"1990","1990-01-01 00:00:00",-4.45534007469782
"1991","1991-01-01 00:00:00",-5.31118203101057
"1992","1992-01-01 00:00:00",-0.64807023129716
"1993","1993-01-01 00:00:00",1.77279600149435
"1994","1994-01-01 00:00:00",0.15480121668758
"1995","1995-01-01 00:00:00",-5.51089706266259
"1996","1996-01-01 00:00:00",-7.31112266197651
"1997","1997-01-01 00:00:00",-2.39090054245881
"1998","1998-01-01 00:00:00",7.01310286162046
"1999","1999-01-01 00:00:00",-0.42193018981305
"2000","2000-01-01 00:00:00",5.6365941860963
"2001","2001-01-01 00:00:00",4.61665030128371
"2002","2002-01-01 00:00:00",3.62938540073543
"2003","2003-01-01 00:00:00",-9.57989389281741
"2004","2004-01-01 00:00:00",1.58495849043882
"2005","2005-01-01 00:00:00",1.92348356051364
"2006","2006-01-01 00:00:00",-1.21441589091905
"2007","2007-01-01 00:00:00",3.11334837102406
"2008","2008-01-01 00:00:00",2.00797047471841
"2009","2009-01-01 00:00:00",-3.14838453861449
"2010","2010-01-01 00:00:00",-0.35258724575969
"2011","2011-01-01 00:00:00",-1.71460612374977
"2012","2012-01-01 00:00:00",4.69696590170757
"2013","2013-01-01 00:00:00",-1.83334699890404
"2014","2014-01-01 00:00:00",2.68827342533183
"2015","2015-01-01 00:00:00",-0.4104739396904
"2016","2016-01-01 00:00:00",-2.81086035527574
"2017","2017-01-01 00:00:00",0.15079791034458
"2018","2018-01-01 00:00:00",-11.2431182347924
"2019","2019-01-01 00:00:00",-4.70158536213988
"2020","2020-01-01 00:00:00",-8.00295793786392
"2021","2021-01-01 00:00:00",5.72738742809148
"2022","2022-01-01 00:00:00",-6.38811970792817
