"GHG emissions"
"Thousand tonnes of CO2 equivalent"
"Category","Total emissions excluding LULUCF","Land use, land-use change and forestry (LULUCF)","Total emissions including LULUCF"
"1990-01-01 00:00:00",221781.04,6237.13,228018.17
"1991-01-01 00:00:00",229711.99,6289.42,236001.41
"1992-01-01 00:00:00",230151.1,6252.2,236403.31
"1993-01-01 00:00:00",230464.25,6319.86,236784.11
"1994-01-01 00:00:00",231199.86,6321.5,237521.36
"1995-01-01 00:00:00",231305.57,6084.96,237390.53
"1996-01-01 00:00:00",241662.09,6011.47,247673.56
"1997-01-01 00:00:00",233328.5,5902.28,239230.78
"1998-01-01 00:00:00",233540.16,5908.03,239448.19
"1999-01-01 00:00:00",221071.12,5809.62,226880.74
"2000-01-01 00:00:00",219454.92,5694.57,225149.49
"2001-01-01 00:00:00",220583.2,5774.51,226357.72
"2002-01-01 00:00:00",218256.53,5725.11,223981.65
"2003-01-01 00:00:00",218993.83,6048.65,225042.48
"2004-01-01 00:00:00",220479,5876.6,226355.6
"2005-01-01 00:00:00",214666.95,5759.54,220426.49
"2006-01-01 00:00:00",209523.76,5756.89,215280.66
"2007-01-01 00:00:00",208077.85,5398.06,213475.91
"2008-01-01 00:00:00",207941.41,5403.98,213345.39
"2009-01-01 00:00:00",202300.72,5345.3,207646.02
"2010-01-01 00:00:00",214236.64,5095.41,219332.04
"2011-01-01 00:00:00",199922.92,5651.69,205574.61
"2012-01-01 00:00:00",195581.75,5964.97,201546.72
"2013-01-01 00:00:00",195278.02,5497.31,200775.33
"2014-01-01 00:00:00",187053.58,5448.33,192501.91
"2015-01-01 00:00:00",194015.91,5408.33,199424.24
"2016-01-01 00:00:00",194644.49,5123.4,199767.89
"2017-01-01 00:00:00",191991.17,4092.58,196083.74
"2018-01-01 00:00:00",186759.63,4182.02,190941.65
"2019-01-01 00:00:00",180936.87,4175.89,185112.76
"2020-01-01 00:00:00",164367.79,4142.38,168510.17
"2021-01-01 00:00:00",167153.25,4312.94,171466.18
