"GHG emission intensities per capita"
"Tonnes of CO2 eq. per capita; Including LULUCF"
"Category","Netherlands"
"1990-01-01 00:00:00",15.251
"1991-01-01 00:00:00",15.661
"1992-01-01 00:00:00",15.569
"1993-01-01 00:00:00",15.486
"1994-01-01 00:00:00",15.441
"1995-01-01 00:00:00",15.356
"1996-01-01 00:00:00",15.948
"1997-01-01 00:00:00",15.325
"1998-01-01 00:00:00",15.244
"1999-01-01 00:00:00",14.349
"2000-01-01 00:00:00",14.138
"2001-01-01 00:00:00",14.107
"2002-01-01 00:00:00",13.87
"2003-01-01 00:00:00",13.87
"2004-01-01 00:00:00",13.902
"2005-01-01 00:00:00",13.507
"2006-01-01 00:00:00",13.17
"2007-01-01 00:00:00",13.031
"2008-01-01 00:00:00",12.973
"2009-01-01 00:00:00",12.561
"2010-01-01 00:00:00",13.201
"2011-01-01 00:00:00",12.315
"2012-01-01 00:00:00",12.029
"2013-01-01 00:00:00",11.948
"2014-01-01 00:00:00",11.414
"2015-01-01 00:00:00",11.772
"2016-01-01 00:00:00",11.73
"2017-01-01 00:00:00",11.446
"2018-01-01 00:00:00",11.081
"2019-01-01 00:00:00",10.672
"2020-01-01 00:00:00",9.661
"2021-01-01 00:00:00",9.779
