"Cropland exposure to extreme precipitation events"
"Cropland exposed (%), by weeks"
"Category","less than 1 week (x)","less than 1 week (y)","from 1 to 2 weeks (x)","from 1 to 2 weeks (y)","over 2 weeks (x)","over 2 weeks (y)"
"2000","2000-01-01 00:00:00",58.13044659,"2000-01-01 00:00:00",0,"2000-01-01 00:00:00",0
"2001","2001-01-01 00:00:00",91.76087521,"2001-01-01 00:00:00",0,"2001-01-01 00:00:00",0
"2002","2002-01-01 00:00:00",98.83071832,"2002-01-01 00:00:00",0,"2002-01-01 00:00:00",0
"2003","2003-01-01 00:00:00",97.45957411,"2003-01-01 00:00:00",0,"2003-01-01 00:00:00",0
"2004","2004-01-01 00:00:00",99.94603343,"2004-01-01 00:00:00",0,"2004-01-01 00:00:00",0
"2005","2005-01-01 00:00:00",91.55738911,"2005-01-01 00:00:00",0,"2005-01-01 00:00:00",0
"2006","2006-01-01 00:00:00",72.32917874,"2006-01-01 00:00:00",0,"2006-01-01 00:00:00",0
"2007","2007-01-01 00:00:00",99.8703011,"2007-01-01 00:00:00",0,"2007-01-01 00:00:00",0
"2008","2008-01-01 00:00:00",100,"2008-01-01 00:00:00",0,"2008-01-01 00:00:00",0
"2009","2009-01-01 00:00:00",85.70072289,"2009-01-01 00:00:00",0,"2009-01-01 00:00:00",0
"2010","2010-01-01 00:00:00",100,"2010-01-01 00:00:00",0,"2010-01-01 00:00:00",0
"2011","2011-01-01 00:00:00",94.85465783,"2011-01-01 00:00:00",0,"2011-01-01 00:00:00",0
"2012","2012-01-01 00:00:00",81.33328954,"2012-01-01 00:00:00",0,"2012-01-01 00:00:00",0
"2013","2013-01-01 00:00:00",100,"2013-01-01 00:00:00",0,"2013-01-01 00:00:00",0
"2014","2014-01-01 00:00:00",94.24011271,"2014-01-01 00:00:00",0,"2014-01-01 00:00:00",0
"2015","2015-01-01 00:00:00",100,"2015-01-01 00:00:00",0,"2015-01-01 00:00:00",0
"2016","2016-01-01 00:00:00",80.65759858,"2016-01-01 00:00:00",0,"2016-01-01 00:00:00",0
"2017","2017-01-01 00:00:00",100,"2017-01-01 00:00:00",0,"2017-01-01 00:00:00",0
"2018","2018-01-01 00:00:00",90.40499706,"2018-01-01 00:00:00",0,"2018-01-01 00:00:00",0
"2019","2019-01-01 00:00:00",100,"2019-01-01 00:00:00",0,"2019-01-01 00:00:00",0
"2020","2020-01-01 00:00:00",92.3001552,"2020-01-01 00:00:00",0,"2020-01-01 00:00:00",0
"2021","2021-01-01 00:00:00",100,"2021-01-01 00:00:00",0,"2021-01-01 00:00:00",0
"2022","2022-01-01 00:00:00",100,"2022-01-01 00:00:00",0,"2022-01-01 00:00:00",0
