"Evolution of policy adoption"
"Number of climate actions and policies adopted"
"Category","Number of policies adopted","Number of measured policies in CAPMF 2023"
"1990-01-01 00:00:00",6,56
"1991-01-01 00:00:00",6,56
"1992-01-01 00:00:00",6,56
"1993-01-01 00:00:00",6,56
"1994-01-01 00:00:00",7,56
"1995-01-01 00:00:00",8,56
"1996-01-01 00:00:00",9,56
"1997-01-01 00:00:00",10,56
"1998-01-01 00:00:00",10,56
"1999-01-01 00:00:00",11,56
"2000-01-01 00:00:00",12,56
"2001-01-01 00:00:00",12,56
"2002-01-01 00:00:00",12,56
"2003-01-01 00:00:00",13,56
"2004-01-01 00:00:00",9,56
"2005-01-01 00:00:00",17,56
"2006-01-01 00:00:00",17,56
"2007-01-01 00:00:00",18,56
"2008-01-01 00:00:00",19,56
"2009-01-01 00:00:00",20,56
"2010-01-01 00:00:00",26,56
"2011-01-01 00:00:00",28,56
"2012-01-01 00:00:00",30,56
"2013-01-01 00:00:00",33,56
"2014-01-01 00:00:00",34,56
"2015-01-01 00:00:00",36,56
"2016-01-01 00:00:00",36,56
"2017-01-01 00:00:00",39,56
"2018-01-01 00:00:00",39,56
"2019-01-01 00:00:00",40,56
"2020-01-01 00:00:00",40,56
"2021-01-01 00:00:00",42,56
"2022-01-01 00:00:00",42,56
